time, x, y, heading, vel_x, vel_y, vel_heading,
1.552, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.56, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.568, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.576, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.584, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.592, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.6, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.608, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.616, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.624, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.632, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.64, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.648, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.656, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.664, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.672, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.68, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.688, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.696, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.704, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.712, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.72, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.728, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.736, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.744, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.752, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.76, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.768, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.776, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.784, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.792, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.8, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.808, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.816, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.824, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.832, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.84, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.848, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.856, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.864, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.872, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.88, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
